month,year,month_num,quarter,days_in_month,month_sin_annual,month_cos_annual,is_winter_dec_feb,is_spring_mar_may,is_summer_jun_aug,is_autumn_sep_nov,is_summer_peak_jul_aug,is_year_end_nov_dec,is_school_vacation_approx_jan_feb_jul_aug,seoul_avg_temp_c,seoul_avg_max_temp_c,seoul_avg_min_temp_c,seoul_month_max_temp_c,seoul_month_min_temp_c,seoul_avg_apparent_temp_c,seoul_avg_max_apparent_temp_c,seoul_avg_min_apparent_temp_c,seoul_month_max_apparent_temp_c,seoul_precipitation_mm,seoul_rain_mm,seoul_snowfall_cm,seoul_precipitation_hours,seoul_wet_days_0_1mm,seoul_rain_days_1mm,seoul_heavy_rain_days_30mm,seoul_very_heavy_rain_days_80mm,seoul_dry_days_lt1mm,seoul_hot_days_30c,seoul_heatwave_warning_days_33c,seoul_tropical_nights_25c,seoul_freezing_days_min_lt0c,seoul_ice_days_max_lt0c,seoul_cold_wave_days_min_le_minus12c,seoul_apparent_heat_days_32c,seoul_cooling_degree_days_18c,seoul_heating_degree_days_18c,seoul_cooling_degree_days_26c,seoul_wind_speed_mean_kmh_daily,seoul_wind_speed_max_kmh_daily,seoul_wind_gust_max_kmh,seoul_shortwave_radiation_mj_m2_sum,seoul_shortwave_radiation_mj_m2_daily_mean,seoul_daylight_hours_sum,seoul_sunshine_hours_sum,seoul_relative_humidity_mean_pct,seoul_relative_humidity_min_pct,seoul_relative_humidity_max_pct,seoul_hourly_temp_p95_c,seoul_hourly_apparent_temp_p95_c,seoul_hourly_wind_speed_mean_kmh,seoul_hourly_wind_speed_p95_kmh,seoul_air_no2_ppm,seoul_air_o3_ppm,seoul_air_co_ppm,seoul_air_so2_ppm,seoul_pm10_ug_m3,seoul_pm25_ug_m3,seoul_pm10_month_avg_bad_flag_gt80,seoul_pm25_month_avg_bad_flag_gt35,air_quality_station_nm,air_quality_missing_flag,data_source_weather,data_source_air_quality
2020-01,2020,1,1,31,0.5,0.866,1,0,0,0,0,0,1,-0.1581,4.8419,-3.8323,10.2,-7.6,-4.1968,0.4194,-7.9097,5.9,63.9,63.3,0.42,67.0,7,4,1,0,27,0,0,0,28,1,0,0,0.0,562.9,0.0,8.629,29.8,59.4,264.55,8.5339,306.6015,218.3008,68.8401,24,99,6.6,3.185,8.6247,18.8,0.032,0.014,0.7,0.004,42.0,34.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query
2020-02,2020,2,1,29,0.866,0.5,1,0,0,0,0,0,1,0.8034,5.9966,-3.3621,14.3,-11.9,-3.1621,2.0931,-7.4172,12.5,60.0,55.5,3.15,74.0,9,8,0,0,21,0,0,0,22,3,0,0,0.0,498.7,0.0,9.5966,32.4,67.3,323.85,11.1672,313.2692,223.6002,68.8218,13,100,9.5,6.55,9.5948,20.375,0.029,0.018,0.6,0.003,40.0,32.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query
2020-03,2020,3,1,31,1.0,0.0,0,1,0,0,0,0,0,5.4548,11.3065,-0.0774,19.5,-5.4,1.671,7.9129,-4.2452,18.1,17.6,17.5,0.07,47.0,8,5,0,0,26,0,0,0,15,0,0,0,0.0,388.9,0.0,11.2581,38.9,77.8,526.38,16.98,371.2898,304.4086,63.4503,21,99,14.4,12.0,11.2587,23.17,0.025,0.025,0.5,0.003,41.0,28.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query
2020-04,2020,4,2,30,0.866,-0.5,0,1,0,0,0,0,0,9.6133,15.51,4.2033,23.4,-1.4,6.0333,11.6533,0.81,20.4,24.4,24.4,0.0,31.0,6,3,0,0,27,0,0,0,1,0,0,0,0.0,251.6,0.0,12.7667,38.2,74.2,595.86,19.862,395.5437,319.3783,58.0653,12,100,17.905,14.2,12.7649,26.2,0.02,0.031,0.4,0.003,39.0,23.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query
2020-05,2020,5,2,31,0.5,-0.866,0,1,0,0,0,0,0,16.5194,21.9806,12.1935,27.5,8.1,15.6548,21.3806,11.0871,28.7,114.5,114.5,0.0,122.0,18,11,1,0,20,0,0,0,0,0,0,0,10.2,56.1,0.0,9.6968,28.8,54.7,558.9,18.029,440.2879,261.1382,72.8172,13,99,24.5,23.785,9.7027,21.1,0.021,0.029,0.4,0.003,32.0,19.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query
2020-06,2020,6,2,30,0.0,-1.0,0,0,1,0,0,0,0,22.2167,27.3267,18.1733,34.2,12.2,23.5033,28.9933,19.5933,36.0,139.8,139.8,0.0,117.0,17,10,2,0,20,7,1,0,0,0,0,7,128.6,2.1,1.0,9.06,32.1,59.4,592.13,19.7377,441.4187,274.6741,73.6306,31,99,29.4,31.1,9.0585,20.405,0.021,0.037,0.4,0.003,33.0,22.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query
2020-07,2020,7,3,31,-0.5,-0.866,0,0,1,0,1,0,1,22.6484,26.2871,19.571,30.5,16.7,24.9,28.9935,21.3,33.3,330.5,330.5,0.0,288.0,26,21,3,1,10,1,0,0,0,0,0,3,144.1,0.0,0.0,9.6742,38.5,79.6,463.28,14.9445,448.1755,214.2685,82.7406,47,100,27.6,30.485,9.6669,22.785,0.017,0.031,0.4,0.003,20.0,15.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query
2020-08,2020,8,3,31,-0.866,-0.5,0,0,1,0,1,0,1,25.3613,28.3839,23.1387,32.2,20.9,29.4839,32.9419,26.8258,36.7,548.0,548.0,0.0,375.0,28,21,7,1,10,6,0,2,0,0,0,19,228.2,0.0,6.5,11.0161,39.3,86.8,408.82,13.1877,420.6193,217.5629,88.7715,58,100,29.4,34.3,11.0187,24.155,0.017,0.019,0.4,0.003,23.0,18.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query
2020-09,2020,9,3,30,-1.0,-0.0,0,0,0,1,0,0,0,19.5667,23.4667,16.1567,28.0,10.9,20.12,24.17,16.1833,32.3,215.6,215.6,0.0,176.0,17,13,3,0,17,0,0,0,0,0,0,1,52.9,5.9,0.0,10.55,39.3,77.8,434.23,14.4743,372.4405,252.2482,79.2403,44,100,24.6,26.805,10.5514,26.11,0.019,0.03,0.4,0.002,21.0,13.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query
2020-10,2020,10,4,31,-0.866,0.5,0,0,0,1,0,0,0,12.5742,17.829,7.7161,22.5,2.3,10.571,15.6258,5.3613,23.1,11.7,11.7,0.0,23.0,7,3,0,0,28,0,0,0,0,0,0,0,0.4,168.6,0.0,8.8226,29.3,52.9,419.96,13.5471,347.6118,278.7901,68.1922,26,100,19.9,19.2,8.8347,19.1,0.025,0.024,0.5,0.003,40.0,19.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query
2020-11,2020,11,4,30,-0.5,0.866,0,0,0,1,0,1,0,6.2367,11.0967,1.72,19.1,-5.3,3.0367,7.8267,-1.72,19.0,66.1,66.1,0.0,72.0,9,6,1,0,24,0,0,0,12,0,0,0,0.0,352.9,0.0,9.8067,32.3,73.8,279.78,9.326,304.8136,219.1748,69.6042,20,100,16.4,14.605,9.8103,20.6,0.03,0.015,0.5,0.003,50.0,26.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query
2020-12,2020,12,4,31,-0.0,1.0,1,0,0,0,0,1,0,-2.1677,2.5032,-5.8613,9.2,-13.2,-6.6258,-2.3645,-10.4613,5.5,2.7,0.5,1.54,17.0,4,1,0,0,30,0,0,0,29,7,2,0,0.0,625.2,0.0,9.5452,26.3,50.4,269.7,8.7,298.1424,244.3602,60.5282,15,100,5.6,1.97,9.5378,20.985,0.034,0.015,0.6,0.003,50.0,30.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query
2021-01,2021,1,1,31,0.5,0.866,1,0,0,0,0,0,1,-3.871,1.3452,-7.929,11.1,-18.8,-8.6742,-3.7129,-12.8871,8.2,16.7,11.3,3.78,42.0,11,5,0,0,26,0,0,0,28,14,4,0,0.0,678.0,0.0,10.871,38.4,72.4,286.09,9.2287,307.1121,231.3497,54.707,8,99,6.785,2.6,10.8716,22.44,0.032,0.015,0.6,0.003,44.0,22.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query
2021-02,2021,2,1,28,0.866,0.5,1,0,0,0,0,0,1,0.4821,6.5,-4.6679,16.0,-11.1,-4.0286,1.7643,-9.4893,12.5,11.6,6.0,3.92,25.0,5,4,0,0,24,0,0,0,25,5,0,0,0.0,490.5,0.0,12.2,33.4,64.1,356.39,12.7282,302.7129,237.1851,61.7887,20,100,11.045,7.445,12.2054,23.29,0.032,0.022,0.6,0.003,55.0,29.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query
2021-03,2021,3,1,31,1.0,0.0,0,1,0,0,0,0,0,6.7226,12.7613,1.671,19.2,-4.7,3.5774,9.6871,-1.771,17.5,94.7,89.9,3.36,69.0,10,5,1,0,26,0,0,0,9,0,0,0,0.0,349.6,0.0,9.7645,31.0,60.5,466.27,15.041,370.9854,261.2331,71.8992,28,100,14.6,12.17,9.7645,20.885,0.035,0.025,0.5,0.003,80.0,33.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query
2021-04,2021,4,2,30,0.866,-0.5,0,1,0,0,0,0,0,11.94,17.4333,6.92,24.6,1.9,9.3767,15.4233,4.0667,25.3,91.0,91.0,0.0,73.0,12,9,1,0,21,0,0,0,0,0,0,0,0.0,181.8,0.0,10.8033,26.7,52.2,544.91,18.1637,395.2668,279.0556,64.625,27,99,19.8,17.605,10.801,20.405,0.025,0.037,0.4,0.003,47.0,20.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query
2021-05,2021,5,2,31,0.5,-0.866,0,1,0,0,0,0,0,15.229,20.3452,10.7258,27.5,5.8,14.3,19.9548,9.3742,30.1,215.5,215.5,0.0,173.0,18,18,2,0,13,0,0,0,0,0,0,0,7.4,93.3,0.0,10.2258,31.1,64.4,572.07,18.4539,440.0857,267.5216,77.0242,35,100,23.085,23.87,10.221,23.785,0.022,0.034,0.4,0.003,68.0,21.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query
2021-06,2021,6,2,30,0.0,-1.0,0,0,1,0,0,0,0,21.0533,25.3167,17.51,29.3,12.1,22.7767,27.9967,18.6067,33.7,78.2,78.2,0.0,128.0,24,10,0,0,20,0,0,0,0,0,0,2,92.9,1.3,0.0,8.35,31.4,68.0,581.81,19.3937,441.3821,276.7808,81.55,48,100,26.5,29.405,8.3515,18.505,0.022,0.039,0.4,0.004,36.0,22.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query
2021-07,2021,7,3,31,-0.5,-0.866,0,0,1,0,1,0,1,26.4419,30.5548,23.0581,35.0,18.9,30.5323,35.0677,26.7581,39.6,130.0,130.0,0.0,163.0,22,15,1,0,16,18,8,6,0,0,0,25,261.7,0.0,40.3,7.6516,28.4,59.8,609.77,19.67,448.3394,312.8127,78.7231,41,100,32.8,37.5,7.6441,15.585,0.022,0.034,0.4,0.004,28.0,17.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query
2021-08,2021,8,3,31,-0.866,-0.5,0,0,1,0,1,0,1,24.7452,28.4,21.5,31.5,18.5,27.6774,31.7032,24.0806,37.0,284.6,284.6,0.0,202.0,24,17,5,0,14,11,0,0,0,0,0,16,209.1,0.0,4.0,9.0774,41.3,78.5,468.17,15.1023,420.8732,254.2319,78.7204,42,99,29.9,33.585,9.0753,17.755,0.019,0.031,0.4,0.003,23.0,14.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query
2021-09,2021,9,3,30,-1.0,-0.0,0,0,0,1,0,0,0,21.1133,25.17,17.5833,28.4,14.4,22.1667,26.76,18.24,30.5,176.8,176.8,0.0,120.0,13,8,2,0,22,0,0,0,0,0,0,0,93.4,0.0,0.0,10.4033,27.1,60.1,450.44,15.0147,372.7374,254.195,78.3375,47,100,26.105,28.1,10.3994,19.805,0.018,0.029,0.4,0.003,13.0,7.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query
2021-10,2021,10,4,31,-0.866,0.5,0,0,0,1,0,0,0,14.0065,18.7161,10.1097,26.7,0.4,13.0839,18.2516,8.6484,28.2,67.7,67.7,0.0,134.0,18,14,0,0,17,0,0,0,0,0,0,0,19.6,143.4,0.0,9.0161,28.7,52.9,359.36,11.5923,347.885,236.3714,77.0457,36,100,22.8,24.785,9.0116,19.47,0.026,0.02,0.4,0.003,27.0,13.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query
2021-11,2021,11,4,30,-0.5,0.866,0,0,0,1,0,1,0,6.16,11.4033,1.6333,19.1,-4.7,3.1867,8.3433,-1.6233,17.3,59.5,59.5,0.0,65.0,11,7,0,0,23,0,0,0,11,0,0,0,0.0,355.2,0.0,8.9433,28.4,58.3,278.61,9.287,305.0328,228.7763,75.975,26,100,14.705,12.4,8.9425,20.405,0.035,0.017,0.6,0.004,46.0,27.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query
2021-12,2021,12,4,31,-0.0,1.0,1,0,0,0,0,1,0,-1.2581,3.8419,-5.4258,10.6,-15.5,-5.5548,-0.3419,-9.9581,8.0,11.1,5.4,3.99,37.0,9,4,0,0,27,0,0,0,27,7,3,0,0.0,597.0,0.0,10.1355,31.6,59.8,251.6,8.1161,298.1764,216.5935,66.1048,21,100,7.4,4.685,10.1317,21.885,0.034,0.013,0.6,0.004,39.0,25.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query
